file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.type,course.name,course.capabilities,course.sport,lap.timestamp[s],lap.start_position_lat[semicircles],lap.start_position_long[semicircles],lap.end_position_lat[semicircles],lap.end_position_long[semicircles],lap.total_timer_time[s],lap.total_distance[m],lap.unknown,lap.message_index,lap.avg_speed[m/s],lap.enhanced_avg_speed[m/s],event.timestamp[s],event.event,event.event_type,event.event_group,record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.speed[m/s],record.enhanced_speed[m/s],
745204439,1,65534,6,
745204439,1,65534,6,
745204439,1,65534,6,Thirty-Three,3,0,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204439,405369392,-1399693334,0.0,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204442,405369631,-1399692499,6.83,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204444,405370228,-1399692141,13.05,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204446,405370943,-1399692260,19.8,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204447,405371182,-1399692499,22.69,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204448,405371301,-1399692618,24.14,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204454,405372896,-1399692629,39.02,2.682,2.682,
745204439,1,65534,6,Thirty-Three,3,0,745224731,405369392,-1399693334,405369392,-1399693334,20291.722,54427.26,-1401038494,0,2.682,2.682,745204439,0,0,0,745204459,405374490,-1399692640,53.91,2.682,2.682,
